target_id	length	eff_length	est_counts	tpm
S683084	531	307.888	19.6112	3.79144
S685081	1664	1437.18	0	0
S686407	388	177.48	4.44367	1.49034
S687538	555	330.989	0	0
S687880	283	96.2988	0	0
S688251	1365	1138.18	12.3763	0.647248
S688548	1326	1099.18	35.8321	1.94041
S689160	395	183.465	0	0
S689286	969	742.182	3.82388	0.30668
S689525	744	517.503	4.90812	0.56454
S689657	1332	1105.18	122.544	6.60011
S690306	817	590.503	7.7605	0.782275
S691387	1792	1565.18	33.0862	1.25827
S691635	1184	957.182	14.4306	0.897393
S691770	1987	1760.18	23.7906	0.804525
S691980	1415	1188.18	44.9491	2.2518
S692383	404	191.202	4.0936	1.2744
S692559	3023	2796.18	93.2028	1.98406
S692603	903	676.25	2.81712	0.247965
S693106	991	764.182	0	0
S693388	437	220.433	3.59835	0.97167
S694312	413	199.013	3.72392	1.11381
S697349	1371	1144.18	25.2066	1.31133
S698790	670	443.883	20.732	2.78012
S700200	1706	1479.18	36.1078	1.45302
S701905	807	580.503	4.74166	0.486203
S702814	2561	2334.18	84.349	2.15098
S703230	956	729.182	22.3731	1.82635
S703238	635	409.263	25.5026	3.70914
S705925	2132	1905.18	49.4668	1.5455
S706108	3337	3110.18	79.0444	1.51279
S707192	5954	5727.18	147.126	1.52912
S707471	846	619.382	0	0
J664606	1896	1669.18	8.01591	0.285852
J664705	792	565.503	4.87847	0.5135
J664749	1245	1018.18	0	0
J664958	1282	1055.18	0	0
J665417	921	694.182	12.0885	1.03655
J665482	1002	775.182	5.62501	0.431929
J665726	266	84.9553	0	0
J665909	1762	1535.18	0	0
J667033	778	551.503	0	0
J667377	370	162.344	4.56572	1.67404
J667537	1730	1503.18	55.1582	2.18419
J667539	2315	2088.18	38.2022	1.08896
J667793	1702	1475.18	0	0
J667984	1117	890.182	1.5468	0.103431
J668464	1792	1565.18	0	0
J668560	1582	1355.18	5.59239	0.245636
J668573	1947	1720.18	28.4086	0.983034
J668805	740	513.503	6.89236	0.798945
J669603	1604	1377.18	0	0
J669748	338	136.867	0	0
J669971	1458	1231.18	86.5156	4.18277
J670222	349	145.458	0	0
J670309	1434	1207.18	6.08262	0.299923
J671295	342	140.101	0	0
J671371	2878	2651.18	0	0
J671452	3071	2844.18	13.095	0.274058
J671504	898	671.317	193.62	17.1678
J671654	943	716.182	0	0
J671700	1174	947.182	0	0
J672475	2101	1874.18	6.32089	0.200752
J672560	1113	886.182	17.4967	1.17524
J672980	1321	1094.18	27.5857	1.50068
J673038	520	297.253	30.6298	6.13352
J673134	643	417.139	4.8336	0.689734
J673386	4404	4177.18	44.6904	0.63683
J673736	434	217.682	2.88006	0.787538
J674049	836	609.444	5.33265	0.520837
J674065	876	649.382	6.5733	0.602526
J674392	741	514.503	5.66371	0.655247
J674659	538	314.575	0	0
J674767	1673	1446.18	43.7898	1.80237
J675022	2394	2167.18	35.4256	0.973002
J675072	3284	3057.18	35.8959	0.698901
J676577	1075	848.182	28.0938	1.97158
