Full_TRT,Pop,trt,egg,tad,loc,ind,DateColl,JulDateCol,Date_Hatch,Jul_hatch,Date_AccStart,JulDate_AccStart,Age_Start,outcome,Date_death,Jul_Death,Date_metamorph,Jul_metamorph,time,Cause,MM_total,MM_tail,MM_weight,Final_date,Jul_Final,Final_SVL,Final_weight,observer,,
0-0-PWL-7,PWL,zerozero,0,0,inland,7,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,30-Jul,42946.00,42946,,50.71,35.61,0.685,3-Aug,42950.00,17.53,0.35,,,
0-0-PWL-8,PWL,zerozero,0,0,inland,8,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,55.98,40.38,0.796,28-Jul,42944.00,18.64,0.461,,,
0-0-PWL-9,PWL,zerozero,0,0,inland,9,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-0-PWL-10,PWL,zerozero,0,0,inland,10,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,47.68,31.79,0.614,28-Jul,42944.00,17.58,0.365,,,
0-0-PWL-11,PWL,zerozero,0,0,inland,11,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
0-0-PWL-12,PWL,zerozero,0,0,inland,12,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-0-PWL-13,PWL,zerozero,0,0,inland,13,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-0-PWL-14,PWL,zerozero,0,0,inland,14,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
0-0-PWL-15,PWL,zerozero,0,0,inland,15,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-4-PWL-1,PWL,zerofour,0,4,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,23-Jul,42939.00,42939,,50.31,34.62,0.656,26-Jul,42942.00,18.71,0.389,,,
0-4-PWL-2,PWL,zerofour,0,4,inland,2,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,27-Jul,42943.00,42943,,50.23,32.8,0.672,30-Jul,42946.00,17.59,0.379,,,
