day,eggsal,loc,target_sal,survive,dead_perday,ref_surv,alive
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
3,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
4,0,inland,0,50,0,50,1
5,0,inland,0,49,1,50,0
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
5,0,inland,0,49,1,50,1
