target_id	length	eff_length	est_counts	tpm
NODE_22111_length_508_cov_1.598234_g16782_i0	508	289.443	3.07229	0.596742
NODE_22373_length_500_cov_1.802247_g17029_i0	500	281.557	1.89256	0.377894
NODE_22415_length_499_cov_2.009009_g17064_i0	499	280.557	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	277.726	4.15469	0.841025
NODE_22554_length_495_cov_2.556818_g17192_i0	495	276.754	2.97221	0.603772
NODE_22586_length_494_cov_2.097950_g17222_i0	494	275.866	3.1457	0.641073
NODE_22793_length_488_cov_2.503464_g17416_i0	488	270.168	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	264.574	5.69244	1.20959
NODE_23229_length_476_cov_2.408551_g17818_i0	476	258.971	0	0
NODE_23329_length_473_cov_1.889952_g17906_i0	473	256.259	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	255.311	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	252.697	4.0368	0.898098
NODE_23684_length_463_cov_2.272059_g18240_i0	463	247.051	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	239.619	5.4273	1.27335
NODE_24141_length_451_cov_2.108586_g18669_i0	451	235.984	2.12	0.505058
NODE_24251_length_448_cov_2.445293_g18771_i0	448	233.175	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	232.199	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	218.647	0	0
NODE_24980_length_430_cov_1.616000_g19469_i0	430	216.782	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	214.915	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	210.464	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	207.615	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	205.786	3.62361	0.989949
NODE_25473_length_418_cov_1.831956_g19940_i0	418	205.786	0.75713	0.206843
NODE_25815_length_410_cov_2.169014_g20268_i0	410	198.646	0	0
NODE_25957_length_407_cov_1.633523_g20410_i0	407	196.015	0	0
NODE_26000_length_406_cov_1.407407_g20451_i0	406	195.117	0	0
NODE_26498_length_395_cov_2.008824_g20935_i0	395	185.367	0	0
NODE_26536_length_394_cov_1.616519_g20972_i0	394	184.464	0	0
NODE_26685_length_391_cov_1.351190_g21119_i0	391	181.983	0	0
NODE_26758_length_389_cov_2.047904_g21189_i0	389	180.098	0	0
NODE_26932_length_385_cov_2.081818_g21359_i0	385	176.529	0	0
NODE_26941_length_385_cov_1.887879_g21368_i0	385	176.529	0	0
NODE_27041_length_383_cov_1.896341_g21465_i0	383	174.863	0	0
NODE_27160_length_380_cov_2.267692_g21582_i0	380	172.174	0	0
NODE_27218_length_379_cov_1.700617_g21637_i0	379	171.356	0	0
NODE_27571_length_372_cov_1.981073_g21985_i0	372	165.304	0	0
NODE_27665_length_370_cov_1.812698_g22078_i0	370	163.584	0	0
NODE_27963_length_365_cov_1.645161_g22371_i0	365	159.291	0	0
