target_id	length	eff_length	est_counts	tpm
NODE_20274_length_569_cov_1.729572_g15126_i0	569	349.364	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	337.605	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	322.065	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	322.065	22.3325	2.87745
NODE_21160_length_538_cov_1.801242_g15926_i0	538	319.162	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	316.258	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	315.289	2.56051	0.337001
NODE_21399_length_530_cov_1.898947_g16136_i0	530	311.384	9.90119	1.31949
NODE_21460_length_528_cov_2.236786_g16190_i0	528	309.509	5.54163	0.742982
NODE_21516_length_526_cov_1.815287_g16240_i0	526	307.633	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	301.756	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	290.381	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	290.381	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	282.641	2.60043	0.38179
NODE_22415_length_499_cov_2.009009_g17064_i0	499	281.698	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	278.867	0	0
NODE_22554_length_495_cov_2.556818_g17192_i0	495	277.924	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	276.952	16.1606	2.4214
NODE_22793_length_488_cov_2.503464_g17416_i0	488	271.284	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	265.475	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	259.714	3.31175	0.529147
NODE_23329_length_473_cov_1.889952_g17906_i0	473	256.871	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	255.897	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	253.026	1.48879	0.244164
NODE_23684_length_463_cov_2.272059_g18240_i0	463	247.484	4.85511	0.814077
NODE_24017_length_455_cov_1.792500_g18553_i0	455	240.079	2.3205	0.401091
NODE_24141_length_451_cov_2.108586_g18669_i0	451	236.37	0	0
NODE_24251_length_448_cov_2.445293_g18771_i0	448	233.586	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	232.586	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	219.059	10.5734	2.00293
NODE_24980_length_430_cov_1.616000_g19469_i0	430	217.126	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	215.305	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	210.787	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	208.025	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	206.175	0.000102101	2.05498e-05
NODE_25473_length_418_cov_1.831956_g19940_i0	418	206.175	0	0
NODE_25815_length_410_cov_2.169014_g20268_i0	410	199.265	9.90162	2.06201
NODE_25957_length_407_cov_1.633523_g20410_i0	407	196.553	3.71998e-05	7.85372e-06
NODE_26000_length_406_cov_1.407407_g20451_i0	406	195.736	0	0
NODE_26498_length_395_cov_2.008824_g20935_i0	395	186.189	0	0
NODE_26536_length_394_cov_1.616519_g20972_i0	394	185.267	0	0
NODE_26685_length_391_cov_1.351190_g21119_i0	391	182.614	0	0
NODE_26758_length_389_cov_2.047904_g21189_i0	389	180.844	0	0
NODE_26932_length_385_cov_2.081818_g21359_i0	385	177.543	0	0
NODE_26941_length_385_cov_1.887879_g21368_i0	385	177.543	0	0
NODE_27041_length_383_cov_1.896341_g21465_i0	383	175.636	0	0
NODE_27160_length_380_cov_2.267692_g21582_i0	380	173.061	0	0
NODE_27218_length_379_cov_1.700617_g21637_i0	379	172.189	0	0
NODE_27571_length_372_cov_1.981073_g21985_i0	372	166.308	0	0
NODE_27665_length_370_cov_1.812698_g22078_i0	370	164.626	0	0
NODE_27963_length_365_cov_1.645161_g22371_i0	365	160.48	0	0
NODE_28291_length_359_cov_2.299342_g22692_i0	359	155.655	0	0
NODE_28765_length_351_cov_2.351351_g23163_i0	351	149.152	0	0
NODE_28791_length_351_cov_1.692568_g23189_i0	351	149.152	0	0
NODE_29263_length_342_cov_2.505226_g23660_i0	342	141.785	0	0
NODE_29265_length_342_cov_2.369338_g23662_i0	342	141.785	0	0
NODE_29784_length_334_cov_2.017921_g24178_i0	334	135.261	0	0
NODE_29812_length_334_cov_1.401434_g24206_i0	334	135.261	2.23811	0.686627
NODE_29856_length_333_cov_1.956835_g24250_i0	333	134.548	0	0
NODE_29920_length_332_cov_1.935018_g24314_i0	332	133.789	0	0
NODE_29993_length_331_cov_1.590580_g24387_i0	331	132.953	0	0
NODE_30262_length_326_cov_3.132841_g24654_i0	326	128.723	13.7953	4.44723
NODE_30412_length_324_cov_2.066914_g24803_i0	324	127.229	0	0
NODE_30646_length_321_cov_1.917293_g25037_i0	321	124.874	0	0
NODE_30728_length_320_cov_1.532075_g25118_i0	320	124.144	0	0
NODE_30783_length_319_cov_1.405303_g25173_i0	319	123.455	0	0
NODE_31095_length_314_cov_1.521236_g25483_i0	314	119.672	0	0
NODE_31166_length_313_cov_1.151163_g25554_i0	313	118.934	0	0
NODE_31302_length_311_cov_1.640625_g25690_i0	311	117.456	0	0
NODE_31912_length_302_cov_1.659919_g26298_i0	302	110.338	0	0
NODE_32115_length_299_cov_2.450820_g26500_i0	299	108.378	0	0
NODE_32298_length_297_cov_1.764463_g26683_i0	297	107.14	0	0
NODE_32886_length_289_cov_1.662393_g27271_i0	289	101.455	0	0
NODE_33378_length_283_cov_1.614035_g27763_i0	283	97.0638	1.12738	0.481978
NODE_34767_length_266_cov_3.497630_g29151_i0	266	85.387	0	0
NODE_35557_length_258_cov_1.709360_g29939_i0	258	79.9313	0	0
NODE_35667_length_257_cov_1.524752_g30049_i0	257	79.28	0	0
NODE_41633_length_204_cov_1.684564_g36013_i0	204	48.7418	0	0
NODE_698_length_4521_cov_32.141329_g540_i0	4521	4299.7	613.219	5.91823
NODE_3725_length_2540_cov_15.145309_g3014_i0	2540	2318.7	0	0
NODE_6305_length_1935_cov_23.545789_g1455_i1	1935	1713.7	21.9552	0.53164
NODE_7343_length_1766_cov_3.712305_g493_i2	1766	1544.7	42.8754	1.15181
NODE_14826_length_995_cov_6.104167_g6769_i1	995	773.697	0	0
NODE_16309_length_902_cov_2.226067_g4634_i1	902	680.697	6.93526	0.422788
NODE_16854_length_869_cov_58.675060_g14026_i0	869	647.697	49.3085	3.15911
NODE_19534_length_741_cov_459.181303_g9409_i1	741	519.754	0	0
NODE_28650_length_465_cov_305.437209_g25029_i0	465	249.358	12.9882	2.16142
NODE_29866_length_442_cov_16.280098_g26227_i0	442	227.962	12.082	2.19934
NODE_34012_length_372_cov_1.433234_g30342_i0	372	166.308	0	0
NODE_46101_length_244_cov_1.363636_g42427_i0	244	70.8607	9.08137	5.31815
NODE_47061_length_237_cov_1.767327_g43387_i0	237	66.7846	4	2.48541
NODE_48124_length_230_cov_1.830769_g44450_i0	230	62.9479	7	4.61457
S72545	674	452.955	3.79274	0.347466
S91058	671	450	5.33023	0.491526
S95076	415	203.577	55.5113	11.3153
S110975	409	198.327	0	0
S124854	293	104.149	6.82322	2.71861
S135682	285	98.4794	2.86779	1.20841
S160639	536	317.226	5.76456	0.754071
S183767	299	108.378	6.60888	2.53046
S204690	584	364.221	6.5438	0.745554
S231095	517	298.847	8.00705	1.11183
S331410	612	391.507	23.956	2.53915
S375275	381	173.933	6.64443	1.58523
S388396	423	210.787	9.28173	1.82725
S430403	414	202.64	0	0
S439102	1414	1192.7	18.7211	0.651351
S510438	434	220.788	1.19069	0.223788
S616149	311	117.456	2.81498	0.994526
S664596	1155	933.697	33.4021	1.48451
S664995	781	559.754	5.47013	0.405522
S665376	1053	831.697	4.4337	0.221216
S665579	303	111.077	0	0
S665820	1555	1333.7	9.52001	0.296206
S666550	2168	1946.7	0	0
S666938	736	514.806	25.7401	2.07482
S668958	1000	778.697	2.01486	0.107372
S669034	496	278.867	0	0
S669148	1606	1384.7	8.66018	0.259529
S669802	889	667.697	10.7079	0.665484
S669921	963	741.697	2.38122	0.133225
S670874	1492	1270.7	0	0
S672583	1246	1024.7	2.39543	0.0970067
S672879	535	316.258	181.839	23.8594
S673566	777	555.754	23.6467	1.76564
S673877	1101	879.697	0	0
S675467	956	734.697	0	0
S675669	2200	1978.7	61.5257	1.2903
S676031	337	137.667	0	0
S676442	1050	828.697	15.8508	0.793725
S676827	432	219.059	12.1229	2.29647
S678126	620	399.468	91.7502	9.53102
S678248	2707	2485.7	27.8519	0.464965
S679063	394	185.267	10.703	2.3973
S679446	693	471.955	5.33937	0.469465
S679633	845	623.697	0.0482525	0.00321041
S680382	358	154.908	17.8388	4.77867
S680833	1094	872.697	10.486	0.49861
S681233	416	204.451	23.9344	4.85789
S681799	837	615.697	15.1104	1.01841
S681915	1094	872.697	90.0014	4.27957
S682895	965	743.697	6.19878	0.345879
S683084	531	312.384	28.9618	3.84725
S685081	1664	1442.7	0	0
S686407	388	180.072	0	0
S687538	555	335.638	0	0
S687880	283	97.0638	0	0
S688251	1365	1143.7	30.1719	1.09473
S688548	1326	1104.7	37.4994	1.40862
S689160	395	186.189	0	0
S689286	969	747.697	0	0
S689525	744	522.754	18.8925	1.49971
S689657	1332	1110.7	97.8781	3.65682
S690306	817	595.697	18.3246	1.27651
S691387	1792	1570.7	18.5434	0.489904
S691635	1184	962.697	0	0
S691770	1987	1765.7	33.1858	0.779921
S691980	1415	1193.7	18.7575	0.65207
S692383	404	193.94	21.5362	4.60804
S692559	3023	2801.7	75.6351	1.12025
S692603	903	681.697	0	0
S693106	991	769.697	7.50305	0.404513
S693388	437	223.401	5.56869	1.03439
